name,planning_area,land_use_type,centroid_lon,centroid_lat,distance_m
kml_87483,Unknown,RESIDENTIAL,103.895994,1.302431,291.163235
kml_87484,Unknown,RESIDENTIAL,103.895852,1.302401,296.705043
kml_87485,Unknown,RESIDENTIAL,103.893328,1.302105,404.986541
kml_87486,Unknown,RESIDENTIAL,103.893126,1.302376,439.855744
kml_87511,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853092,1.324263,904.368340
kml_87512,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852969,1.324185,902.652967
kml_87513,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852917,1.324075,908.781057
kml_87514,Unknown,RESIDENTIAL,103.852969,1.323947,923.638759
kml_87515,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852825,1.323996,909.639162
kml_87523,Unknown,RESIDENTIAL,103.907082,1.403454,875.798826
kml_87526,Unknown,RESIDENTIAL,103.900637,1.392967,374.825293
kml_87529,Unknown,RESIDENTIAL,103.903261,1.390994,89.166119
kml_87530,Unknown,RESIDENTIAL,103.900889,1.393235,362.790758
kml_87531,Unknown,RESIDENTIAL,103.901008,1.391425,304.253084
kml_87532,Unknown,RESIDENTIAL,103.900449,1.391973,367.258569
kml_87534,Unknown,RESIDENTIAL,103.902987,1.391250,93.924110
kml_87535,Unknown,RESIDENTIAL,103.912785,1.391104,1007.629736
kml_87536,Unknown,RESIDENTIAL,103.892993,1.302109,415.777730
kml_87537,Unknown,RESIDENTIAL,103.893126,1.302668,471.151258
kml_87538,Unknown,RESIDENTIAL,103.893159,1.302094,408.695147
kml_87539,Unknown,RESIDENTIAL,103.892908,1.302554,465.790625
kml_87551,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.852959,1.324127,906.993092
kml_87552,Unknown,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,103.853126,1.324331,900.959154
kml_87564,Unknown,RESIDENTIAL,103.892996,1.307282,395.101297
kml_87569,Unknown,RESIDENTIAL,103.875469,1.349558,232.841548
kml_87580,Unknown,RESIDENTIAL,103.908242,1.400941,1149.182118
